Date,Diesel,Unleaded
2026-04-02,302.3,234.9
2026-04-03,302.4,231.3
2026-04-04,305.2,230.4
2026-04-05,307.5,230.4
2026-04-06,309.6,229.8
2026-04-07,311.1,229.3
2026-04-08,322.3,229.4
2026-04-09,328.4,228.4
2026-04-10,324.2,226.4
2026-04-11,320.0,224.2
2026-04-12,319.5,223.7
2026-04-13,318.5,223.6
2026-04-14,316.8,223.4
2026-04-15,312.4,220.1
2026-04-16,303.3,215.1
2026-04-17,297.5,211.0
2026-04-18,295.4,206.7
2026-04-19,295.3,206.2
2026-04-20,294.9,204.9
2026-04-21,293.3,202.9
2026-04-22,283.3,198.6
2026-04-23,271.5,196.7
2026-04-24,260.5,196.0
2026-04-25,260.8,196.1
2026-04-26,258.0,195.2
2026-04-27,259.3,196.1
2026-04-28,256.9,195.3
2026-04-29,255.1,194.8
2026-04-30,252.9,193.8
2026-05-01,250.7,192.4
2026-05-02,249.5,192.1
2026-05-03,249.4,192.1
2026-05-04,249.9,192.2
2026-05-05,249.5,192.2
2026-05-06,248.8,192.5
2026-05-07,247.4,192.9
2026-05-08,246.1,192.9
2026-05-09,246.0,192.9
2026-05-10,246.0,192.5
2026-05-11,246.1,192.1
2026-05-12,244.5,191.8
2026-05-13,241.4,191.3
2026-05-14,239.5,190.8
2026-05-15,238.6,190.6
2026-05-16,237.7,190.6
2026-05-17,237.7,190.7
2026-05-18,237.7,191.0
2026-05-19,237.6,191.7
2026-05-20,237.6,193.4
2026-05-21,237.4,193.8
2026-05-22,235.8,192.7
2026-05-23,233.9,191.9
2026-05-24,233.6,191.8
2026-05-25,233.3,191.5
2026-05-26,232.2,191.1
2026-05-27,231.2,190.3
2026-05-28,229.7,189.7
2026-05-29,227.6,188.5
2026-05-30,224.8,187.5
2026-05-31,224.2,187.4
2026-06-01,221.9,186.6
2026-06-02,218.4,183.8
2026-06-03,213.5,180.2
2026-06-04,209.5,177.1
2026-06-05,204.9,175.2
2026-06-06,202.2,174.2
2026-06-07,201.7,174.0
2026-06-08,201.5,173.4
2026-06-09,200.0,172.8
2026-06-10,199.0,172.5
2026-06-11,198.8,172.4
2026-06-12,198.6,172.4
2026-06-13,198.4,172.3
2026-06-14,198.4,172.3
2026-06-15,197.8,171.6
2026-06-16,197.1,170.7
2026-06-17,195.7,169.7
2026-06-18,190.8,168.7
2026-06-19,189.3,168.3
2026-06-20,188.6,168.1
2026-06-21,188.2,168.0
2026-06-22,187.4,167.8
2026-06-23,186.2,166.8
2026-06-24,183.7,165.4
2026-06-25,181.6,164.3
2026-06-26,179.8,163.4
2026-06-27,178.2,162.8
2026-06-28,177.2,162.1
2026-06-29,176.5,161.6
2026-06-30,176.3,161.3
2026-07-01,178.9,164.0
2026-07-02,182.3,167.6
2026-07-03,186.3,171.4
2026-07-04,188.3,173.6
2026-07-05,188.7,173.8
2026-07-06,188.6,173.5
2026-07-07,188.1,173.0
2026-07-08,187.4,172.7
2026-07-09,188.7,173.0
2026-07-10,189.1,173.0
2026-07-11,189.6,173.2
2026-07-12,190.6,173.4
2026-07-13,191.5,173.4
2026-07-14,192.4,173.3
2026-07-15,193.6,173.3
2026-07-16,198.3,174.4
2026-07-17,203.1,177.1
2026-07-18,209.8,179.5
2026-07-19,211.2,179.7
2026-07-20,211.9,179.7
2026-07-21,214.6,181.2
2026-07-22,217.5,183.0
2026-07-23,221.0,186.5
2026-07-24,224.8,190.1
2026-07-25,228.5,193.3
2026-07-26,230.9,195.3
2026-07-27,232.2,196.0
2026-07-28,236.0,199.3
2026-07-29,238.3,201.2
2026-07-30,240.3,203.5
2026-07-31,241.3,203.7
2026-08-01,244.0,204.3
2026-08-02,244.5,204.8
2026-08-03,247.7,208.6
