RunDateTimeUTC,Endpoint,PayloadRowsDarwin,RowsAppended,HistoryRowsAfterRun,HistoryStartDate,HistoryEndDate,Status
2026-06-01T05:23:25+00:00,https://motormouth.com.au/api/MotorMouthApi/GetDailyAvgGraphData,120,120,120,2026-04-02,2026-05-31,Success
2026-06-01T06:11:05+00:00,https://motormouth.com.au/api/MotorMouthApi/GetDailyAvgGraphData,120,0,120,2026-04-02,2026-05-31,Success
2026-06-01T07:19:12+00:00,https://motormouth.com.au/api/MotorMouthApi/GetDailyAvgGraphData,120,0,120,2026-04-02,2026-05-31,Success
2026-06-01T07:19:49+00:00,https://motormouth.com.au/api/MotorMouthApi/GetDailyAvgGraphData,120,0,120,2026-04-02,2026-05-31,Success
2026-06-01T07:20:19+00:00,https://motormouth.com.au/api/MotorMouthApi/GetDailyAvgGraphData,120,0,120,2026-04-02,2026-05-31,Success
2026-06-01T22:37:01+00:00,https://motormouth.com.au/api/MotorMouthApi/GetDailyAvgGraphData,120,2,122,2026-04-02,2026-06-01,Success
2026-06-01T22:37:38+00:00,https://motormouth.com.au/api/MotorMouthApi/GetDailyAvgGraphData,120,0,122,2026-04-02,2026-06-01,Success
2026-06-01T23:55:16+00:00,https://motormouth.com.au/api/MotorMouthApi/GetDailyAvgGraphData,120,0,122,2026-04-02,2026-06-01,Success
2026-06-02T23:52:04+00:00,https://motormouth.com.au/api/MotorMouthApi/GetDailyAvgGraphData,120,2,124,2026-04-02,2026-06-02,Success
2026-06-03T23:50:55+00:00,https://motormouth.com.au/api/MotorMouthApi/GetDailyAvgGraphData,120,2,126,2026-04-02,2026-06-03,Success
2026-06-04T23:48:36+00:00,https://motormouth.com.au/api/MotorMouthApi/GetDailyAvgGraphData,120,2,128,2026-04-02,2026-06-04,Success
2026-06-05T23:49:32+00:00,https://motormouth.com.au/api/MotorMouthApi/GetDailyAvgGraphData,120,2,130,2026-04-02,2026-06-05,Success
