Date,Week,Year,Darwin,Northern Territory Regional Average,Northern Territory State Average,Canberra,Sydney,NSW Regional Average,NSW State Average,Brisbane,Queensland Regional Average,Queensland State Average,Adelaide,South Australian Regional Average,South Australian State Average,Hobart,Tasmanian Regional Average,Tasmanian State Average,Melbourne,Victorian Regional Average,Victorian State Average,Perth,Western Australian Regional Average,Western Australian State Average,Five Capital City Average,Total Metropolitan Average,Total Regional Average,National Average
2025-08-24,24 Aug,2025,186.8,240.8,208.0,193.1,181.0,184.7,183.7,186.7,186.1,186.4,178.7,184.4,184.4,184.9,185.2,185.1,185.3,190.2,187.5,179.6,185.5,182.1,182.2,183.9,186.8,185.5
2025-08-31,31 Aug,2025,187.1,241.0,208.3,193.4,180.2,184.4,183.3,186.5,186.0,186.2,179.1,184.4,184.4,185.3,185.3,185.3,185.3,190.2,187.5,179.7,185.4,182.1,182.1,183.7,186.6,185.3
2025-09-07,7 Sep,2025,188.5,241.1,209.1,193.3,180.4,184.7,183.5,186.8,186.0,186.4,179.7,185.1,185.1,185.7,185.2,185.4,185.7,190.8,188.0,179.9,185.3,182.2,182.5,184.1,186.9,185.6
2025-09-14,14 Sep,2025,189.1,241.4,209.6,193.2,181.0,184.9,183.8,187.2,186.0,186.6,179.7,185.4,185.4,184.8,184.8,184.8,186.3,191.2,188.5,179.9,185.5,182.2,182.8,184.4,187.1,185.9
2025-09-21,21 Sep,2025,189.2,241.4,209.7,193.1,181.1,185.0,183.9,187.4,186.0,186.7,179.1,185.2,185.2,184.7,184.8,184.8,186.6,191.2,188.6,179.8,185.3,182.1,182.8,184.6,187.0,185.9
2025-09-28,28 Sep,2025,189.4,241.3,209.8,193.1,180.6,184.9,183.7,186.1,185.6,185.8,180.5,184.9,184.9,184.9,184.9,184.9,187.2,191.1,189.0,179.9,185.5,182.3,182.8,184.3,186.9,185.7
2025-10-05,5 Oct,2025,189.6,241.3,209.9,193.4,180.6,185.1,183.8,185.7,185.4,185.5,180.1,184.6,184.6,185.6,184.9,185.1,186.4,191.0,188.4,179.9,185.6,182.3,182.5,184.0,186.9,185.6
2025-10-12,12 Oct,2025,189.5,241.4,209.9,193.2,180.6,185.2,183.9,185.6,185.4,185.5,179.8,184.7,184.7,185.7,185.1,185.3,187.5,191.0,189.0,179.3,185.4,181.9,182.5,184.1,186.9,185.6
2025-10-19,19 Oct,2025,189.1,241.4,209.6,193.1,180.0,184.6,183.3,185.1,185.3,185.2,179.3,184.4,184.4,185.0,184.5,184.7,185.4,187.2,186.2,178.7,184.9,181.3,181.7,183.2,185.9,184.7
2025-10-26,26 Oct,2025,188.9,241.4,209.5,193.1,179.8,184.2,183.0,185.0,185.0,185.0,180.2,183.9,183.9,184.5,184.0,184.2,185.1,183.4,184.3,178.4,184.2,180.9,181.6,183.0,184.9,184.0
2025-11-02,2 Nov,2025,188.5,241.3,209.2,193.2,180.5,184.5,183.5,187.2,185.8,186.5,180.7,184.3,184.3,185.8,184.6,185.0,186.5,183.9,185.3,179.9,184.4,181.8,182.9,184.4,185.4,184.9
2025-11-09,9 Nov,2025,188.6,241.6,209.4,193.4,181.7,185.8,184.7,188.3,187.1,187.7,181.6,185.9,185.9,187.2,186.4,186.6,187.0,184.5,185.9,181.9,185.3,183.3,184.1,185.5,186.6,186.1
2025-11-16,16 Nov,2025,189.7,242.2,210.3,195.7,185.3,188.3,187.5,190.9,189.0,189.9,184.3,188.8,188.8,188.5,188.0,188.2,190.5,186.0,188.5,184.6,187.1,185.7,187.1,188.5,188.6,188.6
2025-11-23,23 Nov,2025,191.5,242.8,211.6,199.2,188.5,190.9,190.4,193.2,191.2,192.1,188.4,190.7,190.7,191.3,190.7,190.9,193.2,188.0,190.9,187.0,188.9,187.8,190.0,191.1,190.9,191.0
