Fuel,State,Region,Geography_Type,Status,Points,First_Date,Last_Date,Page_URL,Error
Diesel,NSW/ACT,Canberra,Capital City,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/,
Diesel,NSW/ACT,NSW Regional Average,State Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/,
Diesel,NSW/ACT,NSW State Average,State Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-state-average/,
Diesel,NSW/ACT,Sydney,Capital City,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/sydney/,
Diesel,NT,Darwin,City/Region,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/northern-territory-retail-diesel-prices/darwin/,
Diesel,NT,Northern Territory Regional Average,State Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/northern-territory-retail-diesel-prices/northern-territory-regional-average/,
Diesel,NT,Northern Territory State Average,State Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/northern-territory-retail-diesel-prices/northern-territory-state-average/,
Diesel,National,Five Capital City Average,National Capital City Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/national-retail-diesel-prices/5-capital-city-average/,
Diesel,National,National Average,National Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/national-retail-diesel-prices/national-average/,
Diesel,National,Total Metropolitan Average,National Metropolitan Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/national-retail-diesel-prices/total-metropolitan-average/,
Diesel,National,Total Regional Average,National Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/national-retail-diesel-prices/total-regional-average/,
Diesel,QLD,Brisbane,Capital City,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/queensland-retail-diesel-fuel-prices/brisbane/,
Diesel,QLD,Queensland Regional Average,State Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/queensland-retail-diesel-fuel-prices/queensland-regional-average/,
Diesel,QLD,Queensland State Average,State Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/queensland-retail-diesel-fuel-prices/queensland-state-average/,
Diesel,SA,Adelaide,Capital City,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/south-australian-retail-diesel-prices/adelaide/,
Diesel,SA,South Australian Regional Average,State Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/south-australian-retail-diesel-prices/south-australian-regional-average/,
Diesel,SA,South Australian State Average,State Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/south-australian-retail-diesel-prices/south-australian-state-average/,
Diesel,TAS,Hobart,Capital City,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/tasmania-retail-diesel-prices/hobart/,
Diesel,TAS,Tasmanian Regional Average,State Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/tasmania-retail-diesel-prices/tasmanian-regional-average/,
Diesel,TAS,Tasmanian State Average,State Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/tasmania-retail-diesel-prices/tasmanian-state-average/,
Diesel,VIC,Melbourne,Capital City,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/victorian-retail-diesel-prices/melbourne/,
Diesel,VIC,Victorian Regional Average,State Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/victorian-retail-diesel-prices/victorian-regional-average/,
Diesel,VIC,Victorian State Average,State Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/victorian-retail-diesel-prices/victorian-state-average/,
Diesel,WA,Perth,Capital City,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/western-australia-retail-diesel-prices/perth/,
Diesel,WA,Western Australian Regional Average,State Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/western-australia-retail-diesel-prices/western-australian-regional-average/,
Diesel,WA,Western Australian State Average,State Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/diesel/western-australia-retail-diesel-prices/western-australian-state-average/,
ULP,NSW/ACT,Canberra,Capital City,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/new-south-wales-act-retail-petrol-prices/canberra/,
ULP,NSW/ACT,NSW Regional Average,State Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/new-south-wales-act-retail-petrol-prices/nsw-regional-average/,
ULP,NSW/ACT,NSW State Average,State Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/new-south-wales-act-retail-petrol-prices/nsw-state-average/,
ULP,NSW/ACT,Sydney,Capital City,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/new-south-wales-act-retail-petrol-prices/sydney/,
ULP,NT,Alice Springs,City/Region,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/northern-territory-retail-petrol-prices/alice-springs/,
ULP,NT,Darwin,City/Region,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/northern-territory-retail-petrol-prices/darwin/,
ULP,NT,Katherine,City/Region,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/northern-territory-retail-petrol-prices/katherine/,
ULP,NT,Northern Territory Regional Average,State Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/northern-territory-retail-petrol-prices/northern-territory-regional-average/,
ULP,NT,Northern Territory State Average,State Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/northern-territory-retail-petrol-prices/northern-territory-state-average/,
ULP,National,5 Capital City Average,National Capital City Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/national-retail-petrol-prices/5-capital-city-average/,
ULP,National,National Average,National Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/national-retail-petrol-prices/national-average/,
ULP,National,Total Metropolitan Average,National Metropolitan Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/national-retail-petrol-prices/total-metropolitan-average/,
ULP,National,Total Regional Average,National Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/national-retail-petrol-prices/total-regional-average/,
ULP,QLD,Brisbane,Capital City,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/queensland-retail-petrol-prices/brisbane/,
ULP,QLD,Queensland Regional Average,State Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/queensland-retail-petrol-prices/queensland-regional-average/,
ULP,QLD,Queensland State Average,State Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/queensland-retail-petrol-prices/queensland-state-average/,
ULP,SA,Adelaide,Capital City,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/south-australian-retail-petrol-prices/adelaide/,
ULP,SA,South Australian Regional Average,State Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/south-australian-retail-petrol-prices/south-australian-regional-average/,
ULP,SA,South Australian State Average,State Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/south-australian-retail-petrol-prices/south-australian-state-average/,
ULP,TAS,Hobart,Capital City,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/tasmania-retail-petrol-prices/hobart/,
ULP,TAS,Tasmanian Regional Average,State Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/tasmania-retail-petrol-prices/tasmanian-regional-average/,
ULP,TAS,Tasmanian State Average,State Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/tasmania-retail-petrol-prices/tasmanian-state-average/,
ULP,VIC,Melbourne,Capital City,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/victorian-retail-petrol-prices/melbourne/,
ULP,VIC,Victorian Regional Average,State Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/victorian-retail-petrol-prices/victorian-regional-average/,
ULP,VIC,Victorian State Average,State Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/victorian-retail-petrol-prices/victorian-state-average/,
ULP,WA,Perth,Capital City,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/western-australian-retail-petrol-prices/perth/,
ULP,WA,Western Australian Regional Average,State Regional Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/western-australian-retail-petrol-prices/western-australian-regional-average/,
ULP,WA,Western Australian State Average,State Average,OK,52,2025-09-07,2026-08-30,https://aip.com.au/pricing/petrol/western-australian-retail-petrol-prices/western-australian-state-average/,
