Date,Week,Year,Fuel,State,Region,Geography_Type,Price_CPL,Source_Name,Page_URL
2025-08-24,24 Aug,2025,Diesel,NSW/ACT,Canberra,Capital City,193.1,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2025-08-31,31 Aug,2025,Diesel,NSW/ACT,Canberra,Capital City,193.4,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2025-09-07,7 Sep,2025,Diesel,NSW/ACT,Canberra,Capital City,193.3,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2025-09-14,14 Sep,2025,Diesel,NSW/ACT,Canberra,Capital City,193.2,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2025-09-21,21 Sep,2025,Diesel,NSW/ACT,Canberra,Capital City,193.1,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2025-09-28,28 Sep,2025,Diesel,NSW/ACT,Canberra,Capital City,193.1,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2025-10-05,5 Oct,2025,Diesel,NSW/ACT,Canberra,Capital City,193.4,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2025-10-12,12 Oct,2025,Diesel,NSW/ACT,Canberra,Capital City,193.2,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2025-10-19,19 Oct,2025,Diesel,NSW/ACT,Canberra,Capital City,193.1,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2025-10-26,26 Oct,2025,Diesel,NSW/ACT,Canberra,Capital City,193.1,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2025-11-02,2 Nov,2025,Diesel,NSW/ACT,Canberra,Capital City,193.2,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2025-11-09,9 Nov,2025,Diesel,NSW/ACT,Canberra,Capital City,193.4,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2025-11-16,16 Nov,2025,Diesel,NSW/ACT,Canberra,Capital City,195.7,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2025-11-23,23 Nov,2025,Diesel,NSW/ACT,Canberra,Capital City,199.2,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2025-11-30,30 Nov,2025,Diesel,NSW/ACT,Canberra,Capital City,201.8,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
