Date,Week,Year,Alice Springs,Darwin,Katherine,Northern Territory Regional Average,Northern Territory State Average,Canberra,Sydney,NSW Regional Average,NSW State Average,Brisbane,Queensland Regional Average,Queensland State Average,Adelaide,South Australian Regional Average,South Australian State Average,Hobart,Tasmanian Regional Average,Tasmanian State Average,Melbourne,Victorian Regional Average,Victorian State Average,Perth,Western Australian Regional Average,Western Australian State Average,5 Capital City Average,Total Metropolitan Average,Total Regional Average,National Average
2025-08-24,24 Aug,2025,244.1,182.8,204.9,234.3,196.6,182.9,171.9,175.7,174.1,193.0,177.5,187.6,170.1,177.7,172.1,176.0,176.8,176.5,190.8,174.7,186.5,173.3,178.9,174.5,179.8,181.8,176.6,180.1
2025-08-31,31 Aug,2025,244.5,184.0,205.1,234.7,197.6,183.5,167.5,175.9,171.8,182.2,177.2,180.4,167.4,178.9,170.3,177.5,178.3,178.0,180.7,174.8,179.2,174.5,179.2,175.6,174.4,175.7,176.8,176.0
2025-09-07,7 Sep,2025,245.0,186.0,204.7,235.1,199.2,183.7,176.9,176.7,177.2,175.3,176.9,175.9,174.8,180.0,176.1,178.8,179.2,179.0,172.8,175.4,173.5,174.5,179.6,175.6,174.8,175.2,177.4,175.9
2025-09-14,14 Sep,2025,245.6,187.0,204.6,235.5,200.0,185.4,195.1,178.0,187.5,176.5,176.6,176.6,173.5,180.3,175.3,177.7,178.8,178.4,174.0,175.4,174.4,174.0,180.1,175.3,178.6,180.4,177.8,179.5
2025-09-21,21 Sep,2025,246.0,187.3,204.6,235.7,200.3,185.9,190.7,178.5,185.4,196.7,177.9,190.2,167.7,180.0,170.9,177.0,178.4,177.8,191.3,175.3,187.1,173.4,180.1,174.9,183.9,187.4,178.2,184.4
2025-09-28,28 Sep,2025,246.4,187.0,204.6,236.0,200.2,185.7,178.0,178.1,178.5,198.7,178.6,191.7,184.3,180.1,183.2,176.8,178.6,177.8,198.3,175.7,192.3,174.4,180.6,175.7,186.7,188.1,178.4,184.9
2025-10-05,5 Oct,2025,246.3,186.8,204.6,236.0,200.0,185.4,168.3,177.5,173.0,188.1,177.5,184.4,171.7,179.9,173.8,176.2,178.6,177.6,188.6,175.7,185.2,174.3,180.4,175.6,178.2,179.6,177.9,179.1
2025-10-12,12 Oct,2025,246.3,187.0,204.6,236.0,200.2,185.2,173.9,177.0,175.8,178.2,176.3,177.6,175.8,179.9,176.9,176.1,178.6,177.6,177.9,175.7,177.3,172.0,179.9,173.7,175.5,176.2,177.4,176.6
2025-10-19,19 Oct,2025,246.3,187.1,204.6,236.1,200.2,184.9,191.8,176.3,185.1,174.3,175.2,174.6,168.2,179.3,171.1,173.8,177.6,176.0,168.1,174.3,169.7,170.7,179.4,172.6,174.6,176.5,176.5,176.5
2025-10-26,26 Oct,2025,245.6,186.9,204.6,235.6,200.0,184.8,183.9,176.2,180.8,192.8,176.6,187.2,172.0,178.8,173.8,173.7,177.4,175.8,181.5,172.6,179.2,171.0,178.7,172.7,180.2,182.2,176.3,180.2
2025-11-02,2 Nov,2025,245.4,187.1,205.1,235.5,200.1,185.4,174.7,176.5,176.0,203.3,179.0,194.8,166.7,178.8,169.8,176.4,178.7,177.7,202.2,173.4,194.6,172.8,179.1,174.2,183.9,187.4,177.2,184.1
2025-11-09,9 Nov,2025,245.9,187.6,207.7,236.4,200.7,185.4,171.3,176.7,174.2,195.0,179.0,189.4,176.0,179.9,177.0,178.4,180.7,179.7,196.0,173.8,190.1,174.6,179.7,175.7,182.5,184.3,177.5,182.1
2025-11-16,16 Nov,2025,246.0,187.8,207.6,236.5,200.9,185.4,184.9,177.2,181.8,183.9,178.3,181.9,171.3,180.7,173.7,178.2,181.3,180.0,182.5,173.8,180.2,175.4,180.3,176.5,179.5,181.5,177.7,180.3
2025-11-23,23 Nov,2025,245.1,187.9,207.9,235.9,200.8,185.4,198.4,178.3,189.5,178.5,177.6,178.2,180.2,181.8,180.6,178.7,182.0,180.6,177.0,173.7,176.1,176.5,181.1,177.5,182.1,183.4,178.1,181.6
2025-11-30,30 Nov,2025,244.7,187.8,208.6,235.8,200.7,186.4,182.2,178.0,180.7,198.4,179.3,191.8,179.3,182.3,180.0,179.4,182.5,181.1,193.8,173.9,188.5,176.6,181.9,177.7,186.0,187.8,178.5,184.7
2025-12-07,7 Dec,2025,244.5,187.1,208.2,235.5,200.1,187.9,173.3,177.8,175.9,208.4,180.5,198.7,168.3,181.3,171.6,180.4,182.8,181.8,205.9,174.2,197.5,176.2,181.5,177.4,186.4,189.8,178.7,186.1
2025-12-14,14 Dec,2025,244.1,185.9,205.7,234.7,199.0,187.4,192.8,177.9,186.4,195.8,178.7,189.9,177.0,180.6,177.9,180.5,182.6,181.7,193.7,174.2,188.6,175.5,180.8,176.7,187.0,189.7,178.2,185.9
2025-12-21,21 Dec,2025,243.8,184.5,205.3,234.4,197.9,186.9,199.0,176.7,189.2,177.4,175.9,176.9,165.6,179.5,169.2,179.5,182.1,181.0,175.2,173.4,174.7,174.0,180.0,175.3,178.2,181.2,176.8,179.8
2025-12-28,28 Dec,2025,243.6,184.1,205.3,234.3,197.6,186.2,183.9,175.1,180.4,171.6,174.0,172.5,178.8,178.9,178.8,178.1,181.5,180.1,168.3,171.5,169.2,172.1,178.3,173.4,174.9,175.1,175.3,175.2
2026-01-04,4 Jan,2026,243.8,184.0,205.3,234.4,197.6,186.7,171.7,174.3,173.6,180.9,174.0,178.5,170.9,178.2,172.8,175.9,180.8,178.7,179.4,171.0,177.2,170.7,177.4,172.1,174.7,176.0,174.7,175.6
2026-01-11,11 Jan,2026,243.9,183.8,204.5,234.3,197.4,186.7,162.6,173.5,168.4,195.3,174.5,188.1,158.3,176.8,163.1,173.5,179.8,177.2,198.1,170.8,190.9,169.2,176.4,170.8,176.7,180.4,174.2,178.3
2026-01-18,18 Jan,2026,243.8,183.7,203.9,234.1,197.3,186.6,166.1,172.2,169.7,198.9,174.5,190.4,158.2,176.2,162.9,171.9,178.8,175.9,199.6,170.5,191.9,168.1,175.2,169.7,178.1,182.2,173.4,179.3
2026-01-25,25 Jan,2026,243.6,182.8,203.4,233.8,196.5,186.5,181.6,171.6,177.7,183.1,172.7,179.5,164.5,175.8,167.4,170.0,177.3,174.2,181.6,169.6,178.5,166.9,174.3,168.5,175.5,178.5,172.5,176.5
2026-02-01,1 Feb,2026,242.8,181.4,203.0,232.9,195.2,185.8,184.6,171.1,179.1,165.2,171.0,167.2,160.5,175.3,164.3,168.9,176.0,173.0,164.3,168.4,165.4,165.7,173.8,167.4,168.0,170.3,171.6,170.7
2026-02-08,8 Feb,2026,241.7,180.1,202.5,231.8,194.0,183.2,170.0,170.3,170.8,160.1,170.2,163.6,157.7,174.2,162.0,168.2,175.4,172.4,159.4,167.7,161.6,165.2,173.4,167.0,162.4,163.8,170.8,166.1
2026-02-15,15 Feb,2026,241.0,179.2,204.1,231.7,193.3,181.5,159.9,169.5,165.0,170.1,170.1,170.1,155.3,173.1,159.9,166.7,173.4,170.6,166.7,166.9,166.8,164.6,173.4,166.5,163.3,164.8,170.1,166.6
2026-02-22,22 Feb,2026,241.3,179.1,205.9,232.3,193.4,181.0,163.1,168.6,166.3,187.9,171.0,182.1,160.4,172.6,163.5,165.4,171.7,169.0,174.8,165.6,172.4,163.9,173.5,166.0,170.0,171.7,169.6,171.0
2026-03-01,1 Mar,2026,241.4,179.4,205.9,232.4,193.6,181.1,181.4,168.3,176.0,201.6,173.5,191.8,176.1,172.6,175.2,166.4,171.4,169.3,195.2,165.6,187.4,165.1,174.2,167.1,183.8,186.4,170.1,181.0
2026-03-08,8 Mar,2026,244.5,193.6,207.0,234.9,204.7,189.9,211.1,190.0,201.3,211.1,189.3,203.5,189.1,182.8,187.5,182.4,184.5,183.6,208.8,179.5,201.1,180.8,183.0,181.3,200.1,203.5,186.7,198.0
2026-03-15,15 Mar,2026,259.7,227.1,220.3,248.8,232.9,218.3,221.4,218.5,220.1,221.3,217.4,220.0,218.1,218.0,218.1,218.3,217.0,217.5,221.5,215.2,219.8,216.8,217.0,216.9,219.8,220.4,217.6,219.5
2026-03-22,22 Mar,2026,274.8,243.5,238.4,263.9,249.0,237.7,236.6,239.5,237.9,236.0,238.7,236.9,238.2,240.0,238.7,239.7,239.4,239.5,237.0,238.9,237.5,238.8,242.9,239.7,237.3,237.2,239.6,238.0
